path,NAME,BRK_A3,CONTINENT,SUBREGION,REGION_WB
France,FRA,Europe,Western Europe,Europe & Central Asia,M 209.2 181.23 209.87 180.23 209.91 179.34 210.24 178.38 209.63 177.37 209.42 175.5 209.94 174.53 210.32 173.66 211.9 174.29 213.66 176.21 214.08 177.44 213.57 178.18 212.37 181.16 211.95 181.57 211.32 181.18 210.45 181.28 210.0 181.71 209.2 181.23 Z,M 304.19 73.14 304.63 73.95 306.69 74.81 307.37 75.71 307.96 75.61 308.98 76.44 309.63 76.58 310.55 76.76 311.38 77.3 313.61 77.85 312.98 78.63 312.59 79.78 312.61 80.91 311.71 81.45 310.08 83.38 311.24 83.47 311.67 84.59 311.31 84.81 311.74 86.15 310.98 86.41 311.67 87.22 311.37 87.74 311.69 88.32 312.79 88.67 312.47 89.32 312.36 89.42 312.25 89.47 311.19 90.17 311.11 90.63 310.02 90.9 308.88 90.33 307.59 90.25 306.55 89.89 305.63 90.44 305.05 91.2 305.29 92.33 303.41 92.51 302.84 92.17 302.38 91.97 299.94 91.77 299.49 91.44 297.88 90.97 297.02 90.22 297.54 89.79 297.93 87.74 298.26 84.34 298.04 83.91 297.0 83.31 296.48 82.6 296.69 82.09 295.84 81.04 292.63 80.04 292.41 78.59 294.16 78.12 294.88 78.15 295.62 78.79 296.16 78.47 297.37 78.56 297.32 77.29 296.87 76.6 297.69 76.19 298.22 76.89 299.64 77.15 300.43 76.74 300.39 76.16 301.95 75.64 302.53 75.08 302.63 73.63 304.19 73.14 Z,M 392.75 233.17 392.03 233.55 391.94 232.73 392.4 232.66 392.75 233.17 Z,M 314.24 92.83 314.41 92.16 315.14 91.68 315.84 92.04 315.88 93.04 315.31 94.53 314.46 93.89 314.24 92.83 Z
Ukraine,UKR,Europe,Eastern Europe,Europe & Central Asia,M 352.81 70.9 353.36 71.03 354.08 70.42 356.2 70.34 357.17 71.53 356.99 72.54 358.12 72.86 358.76 73.53 358.89 74.45 360.98 74.98 362.24 74.61 363.17 75.73 363.75 75.57 365.79 76.19 366.74 77.23 366.1 78.0 366.49 79.38 366.1 80.36 364.63 80.3 363.76 80.86 363.54 81.98 362.48 82.01 361.32 82.64 359.69 82.98 358.67 83.77 357.87 84.05 358.19 85.02 357.67 84.48 356.27 83.99 355.91 84.15 353.64 84.14 352.96 83.03 351.52 83.09 350.7 84.24 349.82 84.78 349.31 86.16 348.75 85.66 347.73 86.14 346.88 85.62 348.1 84.44 348.55 83.63 349.42 83.41 349.8 82.82 349.14 82.33 349.14 81.49 348.41 81.02 348.42 80.04 346.88 79.52 346.14 78.99 344.25 79.41 343.51 80.0 342.0 80.21 341.39 80.63 340.83 80.12 338.84 80.0 338.03 80.11 336.8 79.09 337.47 77.61 337.64 76.6 338.41 75.65 340.08 74.36 339.25 72.19 340.55 71.39 342.84 71.28 345.68 71.96 347.13 72.17 348.48 72.0 350.12 72.27 351.44 71.08 352.81 70.9 Z
Belarus,BLR,Europe,Eastern Europe,Europe & Central Asia,M 339.25 72.19 339.3 70.94 338.51 70.48 339.68 69.64 339.72 68.57 339.04 66.82 341.27 66.64 342.44 65.92 342.86 64.76 343.46 64.54 344.21 62.99 344.86 62.64 345.87 62.71 346.8 61.94 348.84 62.36 348.98 62.95 350.24 62.58 351.39 63.21 351.55 64.38 351.16 64.95 351.82 65.31 352.08 66.18 352.78 66.5 352.79 67.09 354.0 67.44 354.4 67.93 353.54 68.68 352.17 68.5 352.81 70.9 351.44 71.08 350.12 72.27 348.48 72.0 347.13 72.17 345.68 71.96 342.84 71.28 340.55 71.39 339.25 72.19 Z
Lithuania,LTU,Europe,Northern Europe,Europe & Central Asia,M 344.21 62.99 343.46 64.54 342.86 64.76 342.44 65.92 341.27 66.64 339.04 66.82 338.96 66.31 337.85 65.9 337.92 64.71 335.36 63.92 335.0 62.09 336.73 61.33 342.64 61.94 344.21 62.99 Z
Russia,RUS,Europe,Eastern Europe,Europe & Central Asia,M 445.99 77.4 445.18 77.58 444.48 76.99 443.99 76.01 443.16 76.62 441.75 76.48 441.27 75.39 440.07 74.98 439.82 74.16 438.71 73.36 436.45 73.97 435.43 73.94 435.33 73.43 434.14 72.67 433.73 73.43 432.98 73.81 432.12 72.25 429.45 68.3 427.22 66.77 427.62 65.88 425.75 66.47 424.73 67.11 423.38 67.58 422.01 67.75 422.17 66.97 419.81 66.2 418.34 66.46 418.34 65.08 417.48 63.79 416.7 64.18 415.83 63.73 414.25 63.69 413.33 64.57 409.69 65.33 408.86 65.29 408.42 65.93 407.36 65.83 403.99 66.63 401.73 66.65 401.43 67.5 401.73 68.88 400.91 69.49 401.48 70.38 399.98 71.37 400.61 71.97 402.2 72.4 402.4 72.72 402.03 73.82 400.94 74.11 399.79 73.66 399.38 74.37 397.96 74.05 397.41 73.29 396.04 73.07 393.94 73.19 392.53 74.38 390.84 73.28 390.07 73.41 389.13 72.48 388.37 72.2 387.29 72.28 387.01 71.65 385.82 72.19 384.09 71.93 383.67 72.67 382.08 73.72 380.92 74.27 381.27 75.51 380.49 75.97 379.18 74.58 378.65 75.46 377.97 75.95 377.73 77.96 377.27 79.08 378.27 79.38 378.22 80.05 379.87 80.5 380.67 81.3 381.47 82.72 380.56 82.96 381.84 83.7 381.03 84.59 379.15 85.22 378.26 87.12 377.64 87.87 378.55 88.39 378.97 89.34 378.91 91.03 380.76 93.63 379.59 95.04 378.58 94.83 377.71 93.64 377.19 93.53 376.39 93.24 375.4 92.14 374.58 91.61 372.82 91.63 371.81 91.23 371.07 90.68 369.08 90.57 367.58 89.88 366.89 89.8 366.48 90.21 364.8 88.53 362.31 87.35 361.83 86.66 361.78 85.92 362.74 85.81 362.5 85.23 363.67 83.94 362.89 83.37 363.85 82.6 364.51 82.44 365.28 81.63 363.54 81.98 363.76 80.86 364.63 80.3 366.1 80.36 366.49 79.38 366.1 78.0 366.74 77.23 365.79 76.19 363.75 75.57 363.17 75.73 362.24 74.61 360.98 74.98 358.89 74.45 358.76 73.53 358.12 72.86 356.99 72.54 357.17 71.53 356.2 70.34 354.08 70.42 353.36 71.03 352.81 70.9 352.17 68.5 353.54 68.68 354.4 67.93 354.0 67.44 352.79 67.09 352.78 66.5 352.08 66.18 351.82 65.31 351.16 64.95 351.55 64.38 351.39 63.21 350.24 62.58 348.98 62.95 348.84 62.36 346.8 61.94 346.76 61.04 345.97 60.31 346.28 59.39 345.47 58.87 346.01 58.02 345.57 56.15 346.58 54.54 346.54 54.05 347.96 53.85 348.37 52.99 346.91 52.18 346.23 52.16 348.55 50.63 351.91 47.87 352.48 46.95 351.91 46.3 349.84 45.1 350.72 44.54 349.19 42.32 349.38 40.91 350.06 40.73 349.71 39.85 348.36 38.23 349.89 36.35 348.71 35.47 347.65 35.2 347.29 34.51 348.14 33.38 348.77 32.82 350.73 32.25 351.27 31.65 353.29 31.3 355.06 31.97 354.34 32.32 357.63 32.89 358.74 32.83 362.64 34.07 363.9 34.87 366.27 35.53 368.19 36.33 368.76 37.84 367.24 39.19 365.41 39.79 363.05 39.89 361.33 39.46 358.82 39.16 358.0 38.76 355.67 38.47 355.89 39.4 357.35 39.83 357.97 40.36 357.14 41.44 357.88 42.21 358.11 43.52 359.54 43.76 360.34 44.5 361.79 44.75 363.18 44.62 363.18 43.82 361.71 43.65 360.8 42.52 361.53 41.92 363.25 42.63 365.78 43.31 367.38 43.24 367.13 42.48 366.02 41.41 366.21 40.96 367.82 40.11 368.73 39.95 370.16 38.91 371.91 39.12 373.23 39.91 373.98 38.05 372.75 37.38 373.56 35.09 373.12 34.43 376.38 34.67 377.68 36.0 375.4 36.25 374.73 37.16 376.23 38.12 378.02 38.22 379.34 37.87 380.23 36.36 381.68 35.96 385.72 34.58 387.28 34.28 388.84 33.62 390.17 35.19 392.09 34.4 394.15 34.23 395.31 34.4 396.39 33.76 397.89 33.43 399.37 34.17 401.31 33.52 399.98 32.16 401.03 31.56 405.42 31.95 407.31 32.44 411.48 33.92 413.69 35.15 414.89 33.71 413.86 33.51 413.0 32.35 411.01 31.8 411.92 29.48 410.74 29.27 411.27 28.34 412.96 27.84 413.85 27.15 414.69 25.22 415.17 24.93 418.97 24.76 420.52 25.04 421.14 26.19 419.88 28.36 420.82 28.76 420.98 30.28 420.46 30.55 420.66 33.57 422.43 34.54 421.51 35.18 421.7 35.95 420.37 36.81 419.0 38.63 417.06 38.84 416.27 38.18 414.93 38.25 415.36 38.95 416.98 39.35 419.68 39.58 420.52 38.72 422.18 38.26 422.86 37.22 424.24 36.35 423.78 34.12 426.97 33.45 428.54 34.48 429.15 33.69 427.61 33.16 425.53 32.86 424.21 33.25 422.61 33.03 422.22 31.78 422.58 30.82 423.55 30.07 422.29 28.44 421.42 28.03 422.24 27.18 427.92 26.69 430.5 25.88 431.99 25.93 435.89 27.45 438.52 27.49 436.82 28.37 436.66 28.97 438.21 29.27 437.91 30.5 439.28 30.17 438.23 28.46 439.03 27.65 438.59 27.14 436.63 26.58 434.17 25.58 434.4 24.74 433.45 23.89 434.38 23.3 438.79 23.12 444.28 22.57 443.01 21.77 445.23 20.04 448.18 19.14 455.53 18.25 455.75 17.63 458.59 17.56 460.98 18.11 465.43 16.88 467.97 16.77 467.78 15.76 469.84 14.81 472.94 14.08 476.2 14.73 475.32 15.17 478.3 15.69 477.24 16.68 478.87 16.8 481.77 16.24 485.46 16.41 488.29 17.33 489.34 18.25 488.42 18.95 488.87 19.51 485.77 20.89 482.87 21.53 482.69 21.92 480.37 22.86 478.11 23.4 476.82 24.14 479.09 24.2 482.4 23.57 482.1 22.85 482.91 22.32 485.87 22.92 488.52 23.05 491.87 23.0 496.92 23.27 497.7 24.31 501.25 24.72 503.85 24.5 505.41 24.09 504.9 23.36 506.71 22.79 508.9 23.41 512.78 23.53 513.53 24.05 512.73 25.32 514.66 25.72 513.12 26.28 515.11 28.24 516.62 29.14 518.7 29.26 519.89 27.49 523.05 28.18 526.08 27.6 528.35 28.18 530.68 27.58 532.54 26.39 531.99 25.69 534.21 25.6 535.33 25.07 541.74 25.56 544.27 26.1 546.72 26.1 548.73 26.46 549.49 26.96 549.32 27.82 551.86 28.27 553.72 29.37 555.91 29.24 559.24 28.79 563.55 29.07 565.48 29.73 566.18 30.64 565.48 31.46 567.54 32.02 568.39 32.6 569.67 31.98 572.69 31.72 574.04 32.18 577.54 32.33 578.76 31.73 579.7 32.2 579.78 32.9 583.21 33.82 584.33 33.32 583.6 32.11 583.64 30.96 585.94 31.24 593.44 31.77 597.21 32.52 599.25 33.48 599.25 34.42 599.25 35.52 599.25 36.63 599.25 37.73 599.25 38.84 599.25 39.94 599.25 41.05 599.25 42.15 599.25 42.16 597.19 43.1 594.76 42.66 593.81 43.24 596.59 43.98 597.19 45.31 596.91 45.83 598.14 46.3 598.6 47.39 597.84 48.2 596.03 47.76 593.59 47.88 590.09 49.37 588.44 49.91 585.96 51.49 583.59 52.43 583.29 53.47 582.55 53.26 582.14 52.5 581.24 52.13 579.46 52.12 577.72 52.66 576.45 53.73 576.39 52.54 574.53 53.2 574.34 53.73 572.07 53.27 570.8 55.35 571.1 55.68 570.0 56.37 569.31 57.63 570.51 57.9 571.54 58.47 570.71 59.19 570.63 60.56 571.45 60.73 571.6 61.86 570.69 62.13 569.56 61.97 568.95 63.12 569.01 64.08 569.58 64.8 568.91 65.54 567.23 65.5 566.09 66.3 565.74 67.14 565.87 68.28 564.34 68.74 563.53 69.47 563.59 70.47 562.27 72.13 560.55 73.59 560.24 72.7 559.97 70.23 559.53 69.05 559.24 66.99 558.6 63.84 558.83 62.17 559.56 60.41 560.73 59.57 560.9 58.58 562.21 57.77 562.95 57.78 564.38 56.9 565.59 55.77 565.77 55.29 567.34 54.26 569.22 52.47 571.56 51.62 572.7 50.4 572.86 48.37 573.64 47.46 571.43 47.8 570.95 49.38 570.02 49.67 567.38 51.72 566.0 50.94 565.94 50.33 564.94 49.19 561.78 49.44 560.48 50.01 560.26 50.71 559.22 51.72 557.61 52.57 556.39 53.68 556.74 54.39 557.63 54.51 556.11 55.49 554.98 55.07 554.22 55.79 553.37 55.55 551.63 55.92 551.4 55.4 552.1 54.54 548.71 53.92 547.93 54.19 547.36 55.08 546.7 54.76 545.37 54.93 543.46 54.59 541.06 54.79 538.0 54.82 536.51 55.33 535.38 56.45 534.25 56.97 533.57 58.17 530.52 60.09 528.71 62.0 525.88 64.09 524.8 64.71 525.68 65.42 527.57 65.38 527.86 66.37 528.51 65.98 528.75 67.08 529.29 67.61 530.26 67.7 530.69 66.74 531.36 66.24 532.44 66.21 535.13 68.58 534.73 68.93 534.69 70.31 535.13 71.25 533.92 72.6 533.49 74.35 533.44 75.86 533.68 76.5 533.02 78.99 531.74 80.2 531.02 81.51 530.31 82.24 529.59 83.92 528.88 84.88 527.47 86.19 526.3 87.8 525.53 88.48 524.67 89.95 523.1 90.9 522.65 91.33 521.37 91.76 520.12 91.2 520.04 90.44 517.55 92.13 517.29 92.63 517.01 92.11 516.8 91.66 517.77 91.41 518.25 90.23 518.23 88.74 517.9 87.34 519.15 85.9 521.03 86.58 521.45 85.51 521.8 85.37 522.26 84.11 522.61 83.85 523.03 81.63 524.06 80.63 523.42 79.14 521.27 79.75 520.32 80.64 517.83 80.69 517.23 79.73 517.49 79.36 517.01 78.58 515.64 77.16 514.55 76.94 513.91 76.42 512.95 76.57 511.98 75.95 512.1 75.07 511.69 74.83 511.62 73.89 511.02 73.2 511.06 72.61 510.22 71.16 510.36 70.78 508.85 68.77 507.35 68.58 505.55 67.68 503.39 67.82 500.95 68.28 499.97 69.2 500.8 70.86 499.68 71.86 499.08 73.15 498.33 74.23 498.36 75.35 497.25 75.66 495.77 76.64 493.99 75.95 493.21 75.52 491.8 75.79 490.78 75.03 490.0 74.94 488.22 75.95 487.94 76.47 486.25 76.86 485.1 76.96 484.09 77.47 483.18 77.41 481.69 77.02 480.44 77.05 479.6 76.47 479.46 75.7 478.26 75.56 477.32 74.83 475.11 74.5 472.24 75.26 470.12 74.35 469.66 72.49 468.56 72.34 467.1 71.73 466.26 71.72 464.35 70.89 464.11 71.47 463.01 72.31 462.6 73.34 463.41 74.41 463.1 75.41 461.76 76.16 461.21 75.81 459.38 75.52 458.74 75.79 457.31 75.52 456.67 74.3 452.53 74.04 451.98 74.53 449.0 75.77 449.1 76.2 447.75 76.81 446.63 76.77 445.99 77.4 Z,M 337.85 65.9 334.8 65.81 332.6 65.68 333.31 64.59 334.3 64.36 334.79 63.85 334.89 63.87 335.36 63.92 337.92 64.71 337.85 65.9 Z,M 355.91 84.15 356.27 83.99 357.67 84.48 358.19 85.02 358.99 85.98 360.35 85.59 360.58 86.49 359.6 86.66 359.1 86.37 358.2 87.0 357.3 87.24 356.45 88.01 355.66 87.51 355.89 86.79 354.07 85.62 356.04 84.62 355.91 84.15 Z,M 0.75 42.16 0.75 42.15 0.75 41.05 0.75 39.94 0.75 38.84 0.75 37.73 0.75 36.63 0.75 35.52 0.75 34.42 0.75 33.48 2.67 33.99 2.91 34.45 6.21 35.6 6.9 36.27 8.59 36.39 8.8 37.12 10.0 38.91 11.0 38.97 10.68 37.96 11.48 37.67 12.94 38.13 14.22 37.94 16.44 39.31 17.87 39.8 16.49 40.42 16.27 40.98 13.78 41.37 13.9 42.19 12.88 42.58 12.21 43.99 10.74 43.61 9.64 42.91 7.77 42.44 7.55 41.41 5.78 40.96 5.05 41.33 3.6 41.32 2.44 39.74 1.14 39.86 1.95 40.91 1.31 41.99 0.75 42.16 Z,M 599.25 27.82 599.25 28.89 599.25 29.02 597.31 29.43 597.43 28.48 599.25 27.82 Z,M 0.75 29.02 0.75 28.89 0.75 27.82 3.42 27.81 5.0 28.48 4.19 28.91 1.84 29.21 0.75 29.02 Z,M 536.95 66.03 537.74 66.39 537.64 67.24 538.22 68.57 538.3 69.56 537.93 70.37 538.11 72.16 538.51 72.3 539.05 74.87 539.87 77.22 538.57 77.0 538.03 77.23 536.99 79.94 536.98 80.51 537.76 81.64 538.02 82.85 536.84 83.02 536.41 84.35 535.96 84.34 535.78 83.09 536.17 82.09 536.02 80.85 536.39 80.06 536.02 78.08 536.34 76.27 536.15 74.38 536.52 73.17 535.54 71.32 535.51 70.27 535.96 68.86 535.69 68.08 537.03 67.8 537.25 66.8 536.95 66.03 Z,M 385.47 27.22 387.0 26.63 387.97 25.47 388.37 24.24 391.33 23.63 393.82 24.06 392.67 25.05 392.01 26.64 393.28 28.43 394.87 29.31 395.05 29.86 392.8 29.86 389.79 29.54 388.53 27.99 386.22 27.99 385.47 27.22 Z,M 394.74 20.82 392.78 19.79 400.2 17.68 402.47 17.23 404.67 17.46 408.34 16.87 411.29 15.82 413.82 15.78 414.6 16.33 413.53 17.3 410.02 18.01 403.16 19.14 401.13 19.8 399.54 20.96 397.37 21.49 395.18 23.56 394.06 23.99 391.47 23.59 389.56 22.85 392.47 21.93 392.32 20.9 394.74 20.82 Z,M 547.38 85.72 546.41 86.2 545.03 87.22 544.83 86.93 545.86 86.15 547.38 85.72 Z,M 383.66 33.11 382.66 33.68 380.78 34.04 380.31 32.83 381.91 32.31 383.66 33.11 Z,M 581.7 31.56 580.75 32.18 578.95 31.65 579.74 31.17 581.7 31.56 Z,M 400.65 31.62 399.02 31.85 397.58 31.22 397.29 30.49 398.13 30.16 400.65 31.62 Z,M 419.15 24.07 416.8 24.49 416.35 23.67 417.95 23.43 419.15 24.07 Z,M 538.53 23.86 538.03 24.18 535.26 23.91 533.57 23.5 534.62 22.62 536.15 22.54 538.41 23.37 538.53 23.86 Z,M 488.54 21.37 487.49 22.16 485.5 21.78 486.38 21.13 488.54 21.37 Z,M 550.75 19.78 550.39 20.38 548.06 20.68 546.34 20.57 542.84 19.61 543.37 18.84 547.92 19.54 550.75 19.78 Z,M 541.67 18.94 539.95 20.04 536.67 20.53 535.82 20.14 531.66 20.83 529.7 20.64 528.01 19.84 527.87 18.53 529.65 17.66 531.27 17.71 533.0 18.36 535.58 17.65 536.98 18.23 539.31 18.29 541.67 18.94 Z,M 475.25 12.2 474.21 12.74 468.26 13.06 466.67 12.01 468.43 10.74 470.08 10.31 472.88 10.98 475.25 12.2 Z,M 466.06 11.18 465.26 11.67 462.53 11.7 457.97 11.19 455.86 10.07 457.83 8.9 462.25 8.67 466.29 9.45 466.06 11.18 Z,M 403.44 7.25 401.49 8.16 399.15 8.1 399.24 7.2 403.44 7.25 Z,M 385.93 7.44 382.67 7.96 381.64 8.64 378.85 8.34 382.51 7.64 385.93 7.44 Z,M 462.5 7.41 461.58 8.54 455.77 9.06 453.79 8.71 454.7 6.85 459.23 6.2 462.5 7.41 Z
Czechia,CZE,Europe,Eastern Europe,Europe & Central Asia,M 324.62 73.65 327.15 74.13 327.16 74.73 327.77 75.35 328.57 74.72 329.66 75.61 330.85 75.76 331.31 76.64 330.82 76.7 330.1 77.57 328.17 78.65 327.32 78.23 326.65 78.31 324.91 77.75 324.43 78.68 323.4 78.68 322.97 78.29 321.28 77.05 320.59 76.13 320.51 74.98 323.91 73.51 324.62 73.65 Z
Germany,DEU,Europe,Western Europe,Europe & Central Asia,M 322.97 78.29 322.8 78.83 321.19 79.72 321.6 80.33 321.19 80.73 319.32 80.9 318.43 81.34 317.64 80.96 317.13 81.54 316.54 81.04 315.87 81.02 314.23 80.43 313.45 80.95 312.61 80.91 312.59 79.78 312.98 78.63 313.61 77.85 311.38 77.3 310.55 76.76 310.81 76.01 310.17 75.29 310.54 74.74 309.97 73.89 310.3 72.21 309.86 71.55 311.17 71.35 311.72 70.31 311.96 68.36 312.01 67.43 313.22 67.31 313.58 67.68 314.73 67.06 314.98 65.57 314.4 64.7 315.69 64.89 317.92 65.99 318.58 66.65 320.13 66.28 320.78 65.64 322.41 66.41 323.71 67.35 323.96 68.3 323.63 69.31 324.35 69.84 324.54 70.95 324.25 71.56 324.97 72.74 324.62 73.65 323.91 73.51 320.51 74.98 320.59 76.13 321.28 77.05 322.97 78.29 Z
Estonia,EST,Europe,Northern Europe,Europe & Central Asia,M 340.41 58.11 340.09 57.29 339.06 56.33 339.02 55.14 340.56 54.54 342.7 54.21 344.6 54.55 346.58 54.54 345.57 56.15 346.01 58.02 345.47 58.87 344.06 58.9 341.84 57.69 340.41 58.11 Z,M 338.62 56.7 337.83 57.29 336.36 57.24 337.11 56.53 338.62 56.7 Z
Latvia,LVA,Europe,Northern Europe,Europe & Central Asia,M 345.47 58.87 346.28 59.39 345.97 60.31 346.76 61.04 346.8 61.94 345.87 62.71 344.86 62.64 344.21 62.99 342.64 61.94 336.73 61.33 335.0 62.09 335.02 60.38 335.58 59.96 336.08 58.81 337.38 58.39 339.39 60.11 340.53 59.53 340.41 58.11 341.84 57.69 344.06 58.9 345.47 58.87 Z
Norway,NOR,Europe,Northern Europe,Europe & Central Asia,M 334.29 33.36 333.14 34.88 330.21 34.47 330.2 35.3 328.8 35.42 326.81 36.94 327.29 37.76 325.65 39.0 325.74 39.48 324.17 39.81 324.13 41.6 322.68 43.23 323.47 43.54 323.17 44.5 322.0 44.32 321.08 44.62 319.94 46.1 320.32 46.74 320.1 47.66 320.48 48.44 320.22 49.57 321.41 50.35 321.08 51.08 320.38 51.21 320.94 52.25 320.8 53.13 319.41 54.37 319.64 55.05 319.01 55.62 318.04 55.21 315.67 55.84 315.53 56.16 313.5 57.6 311.64 57.75 309.48 56.67 309.11 56.15 310.16 55.0 309.1 54.99 308.62 54.47 310.14 53.19 308.82 52.97 308.37 51.74 308.25 50.58 308.81 48.8 309.86 48.51 311.59 47.35 312.88 46.87 314.62 45.78 316.12 45.31 316.65 44.26 317.65 43.52 318.96 43.05 320.95 41.35 320.53 40.89 321.99 39.68 321.75 38.98 323.65 37.91 325.01 36.37 326.25 35.76 327.65 34.23 328.65 33.98 330.43 32.36 331.75 31.81 335.2 31.5 335.26 30.76 336.55 30.51 338.83 30.97 339.09 30.41 341.33 29.16 342.93 29.39 345.83 28.79 350.22 29.71 351.64 30.41 349.35 31.29 351.27 31.65 350.73 32.25 348.77 32.82 348.14 33.38 348.79 32.41 346.33 31.06 344.06 31.4 343.28 31.89 342.65 33.7 341.76 34.24 339.78 33.85 338.57 34.29 337.57 34.05 336.01 32.86 334.29 33.36 Z,M 327.48 34.06 326.44 34.84 325.3 34.91 325.7 33.89 327.48 34.06 Z,M 340.61 13.87 338.63 15.12 336.89 14.59 336.01 13.67 338.44 13.52 340.61 13.87 Z,M 333.6 12.07 331.58 12.45 330.25 14.62 327.16 16.56 325.0 15.41 323.9 15.27 322.59 13.37 323.04 13.02 319.36 11.83 317.8 10.03 319.65 9.4 322.94 9.32 325.37 9.9 327.62 9.09 331.39 10.29 331.5 10.92 335.78 11.6 333.6 12.07 Z,M 345.17 8.89 345.14 9.38 342.64 10.39 338.11 10.78 334.61 10.43 331.23 9.67 329.94 8.63 334.72 8.59 340.53 8.32 345.17 8.89 Z
