path,NAME,BRK_A3,CONTINENT,SUBREGION,REGION_WB
Dem. Rep. Congo,COD,Africa,Middle Africa,Sub-Saharan Africa,M 441.29 178.68 441.5 176.69 442.3 175.51 443.02 175.02 443.71 175.0 445.08 175.81 445.67 176.61 446.27 176.52 447.74 176.98 449.86 177.14 450.76 175.7 451.84 176.22 453.56 175.51 454.22 175.07 454.67 175.47 456.1 175.23 456.71 174.47 458.66 175.17 460.11 174.86 460.83 175.15 461.56 176.2 462.96 176.91 463.74 176.29 464.96 176.66 465.38 176.04 466.77 177.3 467.69 177.87 468.36 178.65 468.15 179.66 468.39 179.98 468.11 180.98 469.11 181.28 469.25 181.84 467.56 183.64 467.03 183.87 466.34 184.65 466.37 185.28 465.86 186.17 465.52 188.43 465.56 189.47 464.61 190.38 464.62 191.16 463.97 191.75 464.32 192.42 464.8 193.14 464.76 195.03 465.18 196.25 465.0 197.11 465.6 198.85 465.34 199.69 465.92 201.14 466.7 201.66 467.32 202.59 468.17 204.55 464.1 205.17 463.76 206.19 462.89 206.86 463.55 208.16 463.47 209.71 463.04 211.54 463.17 212.67 464.35 213.82 465.27 213.73 466.06 213.33 466.05 216.15 465.56 215.71 464.66 216.17 463.0 214.14 461.92 213.66 461.26 213.64 460.78 212.82 459.78 212.7 459.06 212.96 457.62 212.78 456.2 212.2 456.03 211.22 453.89 211.67 454.05 211.04 453.13 210.49 451.02 211.0 449.96 210.85 449.39 211.3 449.13 210.44 449.46 209.37 449.12 208.4 448.44 207.71 448.46 206.0 448.62 205.04 448.23 204.16 448.44 203.2 448.29 202.53 445.49 202.54 444.99 201.91 443.27 201.91 442.9 204.13 440.29 204.12 440.12 204.36 438.87 204.16 437.67 202.57 437.52 201.66 437.09 200.95 436.79 199.52 436.17 199.37 432.59 199.43 429.22 199.37 428.42 199.31 427.6 199.8 427.07 199.16 427.73 199.08 427.78 197.83 428.45 196.86 428.98 196.66 429.61 197.02 430.35 196.79 431.85 195.87 431.91 197.15 432.88 197.06 433.7 196.01 434.51 195.34 435.21 195.13 435.93 193.84 435.98 191.11 436.62 190.52 437.33 189.19 438.34 188.65 439.34 187.55 439.27 186.82 439.77 185.59 439.6 184.14 440.06 182.95 440.06 181.6 441.26 179.45 441.29 178.68 Z
Namibia,NAM,Africa,Southern Africa,Sub-Saharan Africa,M 436.55 249.73 434.77 248.34 433.9 246.95 433.77 246.16 433.18 244.77 432.9 243.5 432.76 241.37 432.08 239.94 432.16 236.37 431.89 235.77 430.93 234.68 430.66 233.95 429.68 232.53 429.16 231.06 427.24 227.84 426.67 227.41 426.27 226.61 425.97 225.28 426.08 224.63 426.81 224.38 427.83 224.59 428.57 224.14 429.62 223.99 430.91 224.98 436.22 224.93 440.91 224.94 441.59 225.73 442.16 225.9 444.41 226.06 445.08 225.97 446.12 226.36 447.39 226.32 451.83 225.49 453.69 225.14 455.32 225.3 455.99 225.83 455.32 225.85 454.48 226.39 453.61 226.35 452.41 227.32 451.67 226.31 450.94 226.33 447.6 226.95 446.49 227.0 446.5 230.17 446.49 235.16 444.29 235.16 444.29 241.26 444.3 246.88 444.29 249.39 443.38 249.63 442.3 250.58 441.55 250.32 440.27 250.45 438.58 250.02 438.45 248.96 437.45 248.64 437.17 249.44 436.55 249.73 Z
South Africa,ZAF,Africa,Southern Africa,Sub-Saharan Africa,M 444.29 241.26 445.14 241.88 446.09 243.79 446.2 244.31 445.68 245.54 446.82 245.94 448.07 245.92 450.36 243.99 450.64 242.87 451.0 242.49 452.0 242.43 453.03 243.2 454.97 243.64 456.72 243.18 457.34 241.25 458.53 240.99 459.52 240.14 459.86 238.8 461.93 237.29 462.82 236.45 464.09 236.16 464.39 235.64 465.06 235.57 465.97 235.45 467.17 235.9 468.36 235.78 469.36 236.04 469.91 237.72 469.87 238.29 470.9 240.53 470.82 243.93 469.66 243.45 468.98 243.82 468.28 244.9 468.24 245.61 469.06 246.69 470.86 246.94 471.19 245.88 472.91 245.9 472.43 247.39 472.14 248.88 471.77 249.68 470.38 250.6 469.13 251.91 467.37 254.77 466.52 255.75 465.15 256.74 464.0 257.96 461.84 259.63 460.69 260.33 458.78 261.21 457.53 261.11 456.74 261.86 455.64 261.67 454.49 262.15 452.39 261.71 451.89 262.0 450.16 261.75 449.38 261.88 448.11 262.62 446.46 262.54 445.5 262.76 444.23 263.55 443.54 263.47 442.79 262.68 441.69 262.56 441.8 262.09 440.95 261.53 440.58 260.6 439.57 259.16 440.51 258.76 440.67 257.9 440.28 256.58 439.66 255.87 438.31 253.66 437.26 250.85 436.55 249.73 437.17 249.44 437.45 248.64 438.45 248.96 438.58 250.02 440.27 250.45 441.55 250.32 442.3 250.58 443.38 249.63 444.29 249.39 444.3 246.88 444.29 241.26 Z,M 464.24 250.47 463.54 249.78 462.41 250.01 461.51 250.47 460.39 251.89 459.88 252.06 460.66 253.58 461.5 254.22 462.19 254.33 462.87 253.24 464.6 252.71 464.64 252.15 465.25 251.43 464.97 250.87 464.24 250.47 Z
Libya,LBY,Africa,Northern Africa,Middle East & North Africa,M 425.5 112.84 427.37 113.61 428.22 113.69 429.6 113.45 431.42 113.86 432.07 114.31 433.68 114.59 434.34 116.2 435.57 117.06 437.08 117.18 438.49 117.48 440.29 118.15 441.35 118.95 442.24 119.3 443.78 118.76 444.41 118.07 444.66 117.19 444.16 116.08 444.49 115.06 445.58 114.22 447.9 113.39 448.98 113.41 451.17 114.02 451.2 114.74 453.4 115.44 455.38 115.53 455.75 116.22 455.11 116.83 455.41 118.15 454.73 119.57 455.38 121.7 455.38 125.06 455.38 130.52 455.38 133.75 455.38 137.63 455.35 142.07 453.16 142.07 453.16 143.17 447.96 140.6 442.48 137.9 438.65 136.01 435.43 134.42 433.21 135.42 431.55 136.25 429.89 135.01 426.53 134.26 425.64 132.6 423.76 131.96 423.16 132.13 422.24 131.29 422.1 130.1 420.84 128.5 421.02 127.97 421.8 127.64 421.97 126.89 421.55 125.89 422.02 124.62 421.67 123.73 421.78 121.82 421.43 120.76 420.59 119.63 421.1 119.38 421.88 119.1 422.77 117.86 422.41 116.76 424.1 115.15 425.37 114.64 425.5 112.84 Z
Tunisia,TUN,Africa,Northern Africa,Middle East & North Africa,M 425.5 112.84 425.37 114.64 424.1 115.15 422.41 116.76 422.77 117.86 421.88 119.1 421.1 119.38 420.05 115.3 418.44 114.21 417.93 113.03 417.18 112.78 416.58 111.26 417.36 110.1 418.26 109.59 418.45 107.36 418.27 106.97 418.72 104.82 419.07 104.51 420.42 103.85 421.43 103.63 422.49 103.85 423.36 104.88 424.41 104.18 424.64 104.73 423.94 105.59 423.32 105.84 423.52 106.91 424.41 107.35 424.63 108.35 423.49 109.81 422.45 110.3 422.27 111.06 422.9 111.68 424.62 112.02 424.78 112.77 425.5 112.84 Z
Zambia,ZMB,Africa,Eastern Africa,Sub-Saharan Africa,M 472.97 207.24 473.63 207.95 474.64 209.83 473.86 210.37 474.02 211.14 473.66 211.7 473.71 213.15 473.98 214.14 473.21 214.35 473.14 215.63 472.54 216.48 473.26 217.41 473.6 217.45 470.18 218.57 466.98 219.6 467.38 221.05 466.14 221.0 464.7 221.44 464.0 222.05 463.89 222.9 461.57 224.07 461.13 224.88 459.96 226.17 459.21 226.43 458.08 226.04 457.59 226.29 456.93 225.87 455.99 225.83 455.32 225.3 453.69 225.14 451.83 225.49 450.44 224.42 449.51 223.35 449.1 223.18 448.73 222.22 448.72 218.22 448.72 215.21 453.2 215.21 452.9 214.74 453.27 213.84 453.11 212.14 453.34 211.65 453.13 210.49 454.05 211.04 453.89 211.67 456.03 211.22 456.2 212.2 457.62 212.78 459.06 212.96 459.78 212.7 460.78 212.82 461.26 213.64 461.92 213.66 463.0 214.14 464.66 216.17 465.56 215.71 466.05 216.15 466.06 213.33 465.27 213.73 464.35 213.82 463.17 212.67 463.04 211.54 463.47 209.71 463.55 208.16 462.89 206.86 463.76 206.19 464.1 205.17 468.17 204.55 468.63 205.34 469.5 205.42 470.21 206.15 471.78 206.64 472.97 207.24 Z
Sierra Leone,SLE,Africa,Western Africa,Sub-Saharan Africa,M 377.21 167.58 377.02 168.33 376.47 169.17 374.79 170.56 374.56 171.05 373.76 170.54 372.28 170.01 372.22 169.35 371.46 169.04 370.86 167.7 370.52 166.35 371.12 166.23 371.84 165.51 372.27 164.53 373.6 164.24 375.01 164.23 376.34 165.76 376.42 167.5 377.21 167.58 Z
Guinea,GIN,Africa,Western Africa,Sub-Saharan Africa,M 370.52 166.35 370.47 165.67 369.8 164.84 367.94 163.49 367.31 162.41 366.7 162.08 367.44 160.87 368.35 160.53 369.57 160.43 369.57 158.3 371.01 158.38 372.6 159.11 373.22 158.88 374.76 158.89 374.49 159.36 375.19 159.76 375.82 159.35 376.26 160.03 377.24 159.31 378.45 159.73 379.37 159.02 380.06 158.93 380.5 159.98 380.39 160.55 381.1 161.07 381.15 161.89 381.58 162.0 381.61 163.03 382.29 163.86 381.88 164.35 382.07 165.52 382.57 165.53 382.36 166.92 382.95 167.31 382.22 168.39 381.76 169.67 381.19 169.64 380.22 170.32 379.08 169.94 379.11 168.62 378.53 167.58 377.21 167.58 376.42 167.5 376.34 165.76 375.01 164.23 373.6 164.24 372.27 164.53 371.84 165.51 371.12 166.23 370.52 166.35 Z
Liberia,LBR,Africa,Western Africa,Sub-Saharan Africa,M 374.56 171.05 374.79 170.56 376.47 169.17 377.02 168.33 377.21 167.58 378.53 167.58 379.11 168.62 379.08 169.94 380.22 170.32 381.19 169.64 381.64 170.83 381.01 171.87 381.4 172.3 382.41 172.49 382.71 173.15 383.49 173.43 383.61 174.14 383.14 175.53 383.28 176.74 381.7 176.24 379.43 174.98 376.96 172.7 374.83 171.53 374.56 171.05 Z
Central African Rep.,CAF,Africa,Middle Africa,Sub-Saharan Africa,M 450.68 162.18 451.63 163.25 452.37 164.43 452.38 165.82 452.0 166.11 452.05 166.92 453.58 167.13 453.49 167.9 455.04 168.29 456.04 169.41 456.21 170.13 457.69 170.88 458.47 171.64 458.28 172.23 458.8 172.99 460.23 173.71 460.52 174.85 460.83 175.15 460.11 174.86 458.66 175.17 456.71 174.47 456.1 175.23 454.67 175.47 454.22 175.07 453.56 175.51 451.84 176.22 450.76 175.7 449.86 177.14 447.74 176.98 446.27 176.52 445.67 176.61 445.08 175.81 443.71 175.0 443.02 175.02 442.3 175.51 441.5 176.69 441.29 178.68 441.04 178.43 439.58 178.55 438.42 178.37 436.73 178.71 436.53 180.1 435.9 181.43 435.67 180.04 433.63 178.06 433.25 176.63 432.62 176.14 432.5 174.99 432.19 174.69 432.43 173.67 431.91 173.05 432.63 172.52 433.34 171.34 433.75 170.32 434.32 169.71 435.01 169.86 436.29 169.38 437.17 169.65 439.19 168.69 441.21 168.55 442.39 167.16 442.34 166.41 445.13 166.18 446.16 165.51 447.12 164.28 448.0 163.7 448.15 162.81 449.79 162.0 450.68 162.18 Z
