path,NAME,BRK_A3,CONTINENT,SUBREGION,REGION_WB
Sudan,SDN,Africa,Northern Africa,Sub-Saharan Africa,M 450.68 162.18 450.79 161.13 450.16 160.88 450.08 159.81 449.22 158.14 448.34 158.03 448.62 157.44 449.36 156.83 448.93 155.86 449.74 154.8 449.8 153.96 450.91 152.64 450.82 151.89 451.19 151.58 453.17 151.54 453.16 147.81 453.16 143.17 453.16 142.07 455.35 142.07 455.38 137.63 458.4 137.63 462.71 137.63 469.27 137.63 473.55 137.63 478.66 137.63 481.76 137.63 481.79 138.34 482.35 139.46 482.54 142.82 482.98 144.58 484.07 145.19 484.57 145.94 485.57 146.48 485.0 147.25 483.14 148.0 482.91 148.64 482.02 148.54 481.74 149.75 481.89 150.36 480.74 152.89 480.97 154.77 480.65 156.31 480.32 156.77 480.07 158.19 478.95 158.51 478.06 160.02 477.47 161.4 477.44 162.35 476.67 162.27 475.99 162.97 476.09 163.63 475.52 165.43 475.15 163.8 473.55 162.35 473.33 160.71 473.61 159.32 472.56 159.31 472.59 159.78 471.12 159.79 471.7 160.43 471.85 161.89 470.81 162.77 470.19 163.75 469.24 164.68 468.16 164.81 466.53 163.62 465.65 164.09 465.35 164.75 464.3 165.1 463.94 165.72 462.17 165.7 461.83 165.12 460.03 165.09 458.87 165.29 457.41 163.8 457.29 163.3 455.6 163.57 454.96 164.67 454.44 166.69 453.58 167.13 452.05 166.92 452.0 166.11 452.38 165.82 452.37 164.43 451.63 163.25 450.68 162.18 Z
Djibouti,DJI,Africa,Eastern Africa,Middle East & North Africa,M 495.85 160.92 495.15 162.01 494.46 161.81 492.65 162.07 492.54 160.81 493.94 158.76 494.6 158.99 495.58 158.22 496.23 159.25 496.15 159.78 495.41 160.24 495.85 160.92 Z
Eritrea,ERI,Africa,Eastern Africa,Sub-Saharan Africa,M 495.58 158.22 494.6 158.99 493.94 158.76 492.98 157.85 492.46 157.02 491.31 156.21 490.51 155.12 488.9 154.32 487.53 154.19 485.18 154.43 483.99 153.41 483.27 155.1 482.67 154.34 482.18 154.72 480.97 154.77 480.74 152.89 481.89 150.36 481.74 149.75 482.02 148.54 482.91 148.64 483.14 148.0 485.0 147.25 485.57 146.48 486.29 147.83 486.81 149.53 486.97 150.68 488.04 152.55 488.39 152.02 489.02 153.18 489.9 153.16 490.46 153.8 491.23 153.93 492.38 155.49 493.74 156.3 494.82 157.88 495.58 158.22 Z
Côte d'Ivoire,CIV,Africa,Western Africa,Sub-Saharan Africa,M 382.29 163.86 382.91 163.33 384.57 163.81 385.54 162.97 386.24 162.81 386.3 163.74 387.76 163.28 388.67 163.6 388.99 164.44 390.42 165.09 390.53 164.79 391.88 164.34 393.05 164.6 394.04 165.36 393.85 166.32 394.19 166.61 394.44 168.19 393.7 169.05 393.25 170.71 392.77 171.72 393.42 173.93 393.94 174.52 393.7 174.98 392.66 175.04 390.86 174.62 389.39 174.99 387.03 175.24 384.67 176.07 383.28 176.74 383.14 175.53 383.61 174.14 383.49 173.43 382.71 173.15 382.41 172.49 381.4 172.3 381.01 171.87 381.64 170.83 381.19 169.64 381.76 169.67 382.22 168.39 382.95 167.31 382.36 166.92 382.57 165.53 382.07 165.52 381.88 164.35 382.29 163.86 Z
Mali,MLI,Africa,Western Africa,Sub-Saharan Africa,M 372.81 153.64 373.76 153.38 374.0 151.94 374.71 151.8 375.8 152.91 376.2 152.2 378.2 152.32 379.28 152.04 385.21 152.04 387.78 152.04 388.13 150.23 387.53 149.75 387.24 147.06 386.78 142.9 386.21 138.01 385.87 135.07 385.39 130.99 389.31 130.98 394.41 134.29 397.86 136.56 402.54 139.61 402.54 140.29 403.64 140.9 403.94 141.38 404.84 141.44 405.32 141.93 407.13 142.51 407.22 143.36 406.88 143.93 407.33 144.31 409.37 143.96 409.39 148.71 409.27 150.0 408.58 151.55 407.77 152.35 402.95 152.51 402.16 153.16 400.48 153.34 399.48 152.99 398.33 152.98 397.69 153.54 396.24 154.26 395.64 154.28 395.51 154.92 394.54 154.73 393.7 155.26 392.8 156.92 392.03 157.13 391.17 156.69 390.36 157.31 390.62 157.69 390.23 159.11 389.34 159.8 388.54 159.91 388.43 161.07 387.76 163.28 386.3 163.74 386.24 162.81 385.54 162.97 384.57 163.81 382.91 163.33 382.29 163.86 381.61 163.03 381.58 162.0 381.15 161.89 381.1 161.07 380.39 160.55 380.5 159.98 380.06 158.93 379.37 159.02 378.45 159.73 377.24 159.31 376.26 160.03 375.82 159.35 375.19 159.76 374.49 159.36 374.76 158.89 374.62 157.41 374.26 156.77 373.41 156.37 373.41 154.99 372.91 154.49 372.81 153.64 Z
Senegal,SEN,Africa,Western Africa,Sub-Saharan Africa,M 372.81 153.64 372.91 154.49 373.41 154.99 373.41 156.37 374.26 156.77 374.62 157.41 374.76 158.89 373.22 158.88 372.6 159.11 371.01 158.38 369.57 158.3 366.32 158.28 365.25 158.82 364.02 158.78 362.92 159.05 362.86 157.43 363.04 157.21 364.9 157.22 364.93 156.86 366.72 156.47 368.52 157.06 369.3 156.83 369.04 156.3 368.24 156.56 366.94 155.82 365.88 155.86 365.6 156.28 363.29 156.27 362.75 155.12 361.92 153.91 362.01 153.3 363.33 151.35 363.81 149.87 365.26 149.86 366.9 149.5 368.21 149.51 369.38 150.65 370.11 150.58 370.66 151.76 371.26 152.01 371.5 152.65 372.81 153.64 Z
Nigeria,NGA,Africa,Western Africa,Sub-Saharan Africa,M 407.97 160.46 408.08 158.62 409.06 157.58 409.15 156.52 409.99 156.03 411.69 155.9 412.31 155.64 414.12 156.18 415.31 157.56 416.39 157.32 417.19 156.85 417.91 156.89 419.24 157.74 421.37 157.97 422.01 157.25 423.66 156.74 425.36 156.76 426.73 157.31 427.65 157.43 428.56 156.47 430.16 156.01 431.18 157.4 431.43 158.93 432.52 159.42 432.35 160.91 431.4 161.48 430.99 161.39 430.07 162.72 429.78 163.88 429.37 164.05 429.25 165.24 428.51 165.59 428.39 166.81 427.15 167.73 427.04 168.71 426.11 170.34 425.51 171.73 424.6 172.09 424.51 171.54 423.5 170.74 423.27 171.15 422.43 170.88 421.66 171.37 421.25 171.97 419.63 173.43 419.5 174.95 419.05 175.72 418.39 176.3 416.75 176.36 415.89 176.18 415.45 176.69 413.51 176.91 412.4 176.11 411.84 174.54 411.1 173.42 409.77 172.29 407.85 172.08 405.99 172.27 406.15 170.76 405.92 168.9 406.14 166.31 406.85 166.16 406.94 165.49 407.79 164.56 408.51 162.89 408.25 161.76 407.72 161.14 407.97 160.46 Z
Benin,BEN,Africa,Western Africa,Sub-Saharan Africa,M 407.97 160.46 407.72 161.14 408.25 161.76 408.51 162.89 407.79 164.56 406.94 165.49 406.85 166.16 406.14 166.31 405.92 168.9 406.15 170.76 405.99 172.27 403.59 172.61 403.6 170.88 403.55 166.33 403.16 165.81 402.95 164.23 401.7 163.41 402.0 162.02 403.18 160.99 404.46 161.06 405.3 160.02 405.23 159.3 406.3 158.9 407.97 160.46 Z
Angola,AGO,Africa,Middle Africa,Sub-Saharan Africa,M 428.98 196.66 428.45 196.86 427.78 197.83 427.73 199.08 427.07 199.16 427.11 198.54 426.62 197.52 427.44 196.63 428.29 196.12 428.98 196.66 Z,M 453.13 210.49 453.34 211.65 453.11 212.14 453.27 213.84 452.9 214.74 453.2 215.21 448.72 215.21 448.72 218.22 448.73 222.22 449.1 223.18 449.51 223.35 450.44 224.42 451.83 225.49 447.39 226.32 446.12 226.36 445.08 225.97 444.41 226.06 442.16 225.9 441.59 225.73 440.91 224.94 436.22 224.93 430.91 224.98 429.62 223.99 428.57 224.14 427.83 224.59 426.81 224.38 426.08 224.63 426.21 222.92 426.02 221.63 426.58 221.01 426.73 220.16 427.2 219.09 427.33 217.63 427.71 217.1 427.74 216.19 428.69 215.17 428.68 214.8 429.62 214.3 430.23 213.54 430.58 212.48 430.69 211.02 430.49 209.99 429.26 207.91 428.81 206.55 429.66 205.8 429.64 204.84 428.48 202.5 428.41 201.79 427.22 200.02 429.22 199.37 432.59 199.43 436.17 199.37 436.79 199.52 437.09 200.95 437.52 201.66 437.67 202.57 438.87 204.16 440.12 204.36 440.29 204.12 442.9 204.13 443.27 201.91 444.99 201.91 445.49 202.54 448.29 202.53 448.44 203.2 448.23 204.16 448.62 205.04 448.46 206.0 448.44 207.71 449.12 208.4 449.46 209.37 449.13 210.44 449.39 211.3 449.96 210.85 451.02 211.0 453.13 210.49 Z
Botswana,BWA,Africa,Southern Africa,Sub-Saharan Africa,M 455.99 225.83 456.54 227.17 457.5 228.33 457.92 229.62 459.25 230.58 460.33 230.97 460.61 231.77 461.4 231.85 461.35 233.14 462.05 234.16 463.46 234.38 464.37 234.71 465.06 235.57 464.39 235.64 464.09 236.16 462.82 236.45 461.93 237.29 459.86 238.8 459.52 240.14 458.53 240.99 457.34 241.25 456.72 243.18 454.97 243.64 453.03 243.2 452.0 242.43 451.0 242.49 450.64 242.87 450.36 243.99 448.07 245.92 446.82 245.94 445.68 245.54 446.2 244.31 446.09 243.79 445.14 241.88 444.29 241.26 444.29 235.16 446.49 235.16 446.5 230.17 446.49 227.0 447.6 226.95 450.94 226.33 451.67 226.31 452.41 227.32 453.61 226.35 454.48 226.39 455.32 225.85 455.99 225.83 Z
Zimbabwe,ZWE,Africa,Eastern Africa,Sub-Saharan Africa,M 455.99 225.83 456.93 225.87 457.59 226.29 458.08 226.04 459.21 226.43 459.96 226.17 461.13 224.88 461.57 224.07 463.89 222.9 464.0 222.05 464.7 221.44 466.14 221.0 467.38 221.05 467.39 221.86 469.29 221.91 470.24 222.31 470.73 222.81 471.58 222.86 472.91 223.43 472.77 223.93 473.2 224.87 473.01 226.39 473.14 227.32 472.64 229.31 473.22 230.24 472.81 231.36 471.97 232.24 471.84 233.58 469.36 236.04 468.36 235.78 467.17 235.9 465.97 235.45 465.06 235.57 464.37 234.71 463.46 234.38 462.05 234.16 461.35 233.14 461.4 231.85 460.61 231.77 460.33 230.97 459.25 230.58 457.92 229.62 457.5 228.33 456.54 227.17 455.99 225.83 Z
Chad,TCD,Africa,Middle Africa,Sub-Saharan Africa,M 431.18 157.4 430.16 156.01 429.81 154.51 430.51 153.76 430.67 153.1 431.85 151.48 434.25 148.98 434.56 145.9 434.88 142.27 435.36 141.23 434.46 140.28 434.6 139.95 433.65 138.71 433.63 137.64 433.21 135.42 435.43 134.42 438.65 136.01 442.48 137.9 447.96 140.6 453.16 143.17 453.16 147.81 453.17 151.54 451.19 151.58 450.82 151.89 450.91 152.64 449.8 153.96 449.74 154.8 448.93 155.86 449.36 156.83 448.62 157.44 448.34 158.03 449.22 158.14 450.08 159.81 450.16 160.88 450.79 161.13 450.68 162.18 449.79 162.0 448.15 162.81 448.0 163.7 447.12 164.28 446.16 165.51 445.13 166.18 442.34 166.41 442.39 167.16 441.21 168.55 439.19 168.69 437.17 169.65 436.29 169.38 435.01 169.86 434.32 169.71 434.23 169.01 433.66 167.59 431.81 166.07 430.92 165.03 431.44 164.27 432.66 164.39 434.44 164.04 433.92 163.53 433.4 162.46 433.3 161.6 433.55 160.83 433.34 159.67 432.87 158.42 431.96 157.39 431.18 157.4 Z
Algeria,DZA,Africa,Northern Africa,Middle East & North Africa,M 389.31 130.98 383.82 127.71 380.75 125.91 380.75 125.07 380.75 122.85 383.11 121.24 384.16 120.98 387.24 120.74 387.72 120.95 388.31 120.14 390.31 118.76 391.92 118.31 392.12 117.77 391.54 117.18 391.89 116.24 393.73 115.91 393.49 115.35 394.42 115.16 397.23 115.27 397.3 114.59 396.29 112.71 396.29 110.79 395.85 109.7 396.04 109.34 395.07 108.61 396.1 108.52 397.19 107.94 397.36 107.55 400.28 106.48 402.32 105.51 405.12 105.19 405.84 105.25 406.5 104.8 407.67 104.87 408.48 104.57 410.61 104.6 411.76 105.16 413.74 104.59 414.05 104.22 415.32 104.61 416.37 104.19 417.53 104.71 419.07 104.51 418.72 104.82 418.27 106.97 418.45 107.36 418.26 109.59 417.36 110.1 416.58 111.26 417.18 112.78 417.93 113.03 418.44 114.21 420.05 115.3 421.1 119.38 420.59 119.63 421.43 120.76 421.78 121.82 421.67 123.73 422.02 124.62 421.55 125.89 421.97 126.89 421.8 127.64 421.02 127.97 420.84 128.5 422.1 130.1 422.24 131.29 423.16 132.13 423.76 131.96 425.64 132.6 426.53 134.26 421.55 137.19 416.59 140.12 412.94 143.21 409.37 143.96 407.33 144.31 406.88 143.93 407.22 143.36 407.13 142.51 405.32 141.93 404.84 141.44 403.94 141.38 403.64 140.9 402.54 140.29 402.54 139.61 397.86 136.56 394.41 134.29 389.31 130.98 Z
Mozambique,MOZ,Africa,Eastern Africa,Sub-Saharan Africa,M 471.19 245.88 470.82 243.93 470.9 240.53 469.87 238.29 469.91 237.72 469.36 236.04 471.84 233.58 471.97 232.24 472.81 231.36 473.22 230.24 472.64 229.31 473.14 227.32 473.01 226.39 473.2 224.87 472.77 223.93 472.91 223.43 471.58 222.86 470.73 222.81 470.24 222.31 469.29 221.91 467.39 221.86 467.38 221.05 466.98 219.6 470.18 218.57 473.6 217.45 474.49 218.58 476.13 218.28 476.48 218.7 476.63 220.24 475.88 221.61 476.22 222.27 478.26 224.3 478.06 222.93 478.41 222.17 479.35 221.87 479.32 220.07 479.47 218.9 478.59 217.73 477.35 216.39 476.58 215.93 476.46 214.51 476.15 213.43 476.81 212.04 477.5 212.04 479.03 212.05 479.42 211.69 480.24 212.33 482.12 212.09 482.96 212.37 483.75 212.01 483.96 211.48 484.8 211.39 485.32 211.69 486.22 211.14 487.09 211.11 488.68 210.35 489.63 209.61 489.77 210.67 489.62 212.19 489.86 212.98 489.73 214.06 489.91 214.79 489.87 216.67 490.02 217.73 490.53 218.45 489.94 220.76 489.03 221.67 488.0 223.04 486.65 224.04 485.55 224.28 484.03 224.86 482.21 226.0 481.77 226.71 480.34 228.25 480.04 228.08 479.05 228.8 478.34 229.66 477.32 230.42 476.87 231.49 477.57 232.34 477.71 233.24 478.68 235.47 478.74 237.17 478.46 239.24 478.68 239.83 477.82 240.91 476.81 241.39 474.77 242.04 472.87 243.01 472.24 243.95 472.99 244.61 472.91 245.9 471.19 245.88 Z
eSwatini,SWZ,Africa,Southern Africa,Sub-Saharan Africa,M 470.82 243.93 471.19 245.88 470.86 246.94 469.06 246.69 468.24 245.61 468.28 244.9 468.98 243.82 469.66 243.45 470.82 243.93 Z
Burundi,BDI,Africa,Eastern Africa,Sub-Saharan Africa,M 467.73 191.71 467.42 192.71 468.34 193.42 467.54 194.18 466.51 195.86 465.9 196.28 465.18 196.25 464.76 195.03 464.8 193.14 464.32 192.42 465.83 192.61 467.34 191.49 467.73 191.71 Z
Rwanda,RWA,Africa,Eastern Africa,Sub-Saharan Africa,M 464.32 192.42 463.97 191.75 464.62 191.16 464.61 190.38 465.56 189.47 466.83 189.37 467.55 188.75 468.34 189.92 468.35 191.59 467.73 191.71 467.34 191.49 465.83 192.61 464.32 192.42 Z
Uganda,UGA,Africa,Eastern Africa,Sub-Saharan Africa,M 467.55 188.75 466.83 189.37 465.56 189.47 465.52 188.43 465.86 186.17 466.37 185.28 466.34 184.65 467.03 183.87 467.56 183.64 469.25 181.84 469.11 181.28 468.11 180.98 468.39 179.98 468.15 179.66 468.36 178.65 469.03 178.0 469.84 178.28 470.45 177.93 470.81 178.43 473.19 177.79 474.33 178.02 475.32 177.04 475.98 178.17 476.33 179.34 477.41 180.9 477.54 182.67 477.14 183.66 476.49 183.94 475.13 186.15 475.26 186.73 475.15 188.61 471.73 188.61 468.34 188.61 467.55 188.75 Z
Lesotho,LSO,Africa,Southern Africa,Sub-Saharan Africa,M 464.24 250.47 464.97 250.87 465.25 251.43 464.64 252.15 464.6 252.71 462.87 253.24 462.19 254.33 461.5 254.22 460.66 253.58 459.88 252.06 460.39 251.89 461.51 250.47 462.41 250.01 463.54 249.78 464.24 250.47 Z
Cameroon,CMR,Africa,Middle Africa,Sub-Saharan Africa,M 425.1 181.59 422.15 181.59 421.72 181.2 421.95 179.13 420.86 177.74 419.89 177.3 419.67 176.19 419.05 175.72 419.5 174.95 419.63 173.43 421.25 171.97 421.66 171.37 422.43 170.88 423.27 171.15 423.5 170.74 424.51 171.54 424.6 172.09 425.51 171.73 426.11 170.34 427.04 168.71 427.15 167.73 428.39 166.81 428.51 165.59 429.25 165.24 429.37 164.05 429.78 163.88 430.07 162.72 430.99 161.39 431.4 161.48 432.35 160.91 432.52 159.42 431.43 158.93 431.18 157.4 431.96 157.39 432.87 158.42 433.34 159.67 433.55 160.83 433.3 161.6 433.4 162.46 433.92 163.53 434.44 164.04 432.66 164.39 431.44 164.27 430.92 165.03 431.81 166.07 433.66 167.59 434.23 169.01 434.32 169.71 433.75 170.32 433.34 171.34 432.63 172.52 431.91 173.05 432.43 173.67 432.19 174.69 432.5 174.99 432.62 176.14 433.25 176.63 433.63 178.06 435.67 180.04 435.9 181.43 434.94 182.16 433.45 181.99 432.28 181.49 431.63 181.62 429.47 181.6 428.26 181.43 425.16 181.29 425.1 181.59 Z
Gabon,GAB,Africa,Middle Africa,Sub-Saharan Africa,M 429.47 181.6 429.1 182.86 429.37 183.68 430.58 183.21 431.44 183.33 432.07 184.36 431.55 185.19 430.75 185.95 430.86 186.51 432.14 187.79 431.9 188.66 432.1 189.47 431.59 190.75 431.54 191.54 430.78 191.91 430.52 191.09 429.62 191.77 428.84 191.46 428.38 190.64 427.54 190.6 427.62 191.55 426.74 191.74 425.62 191.6 425.91 193.42 426.22 194.25 424.85 194.58 424.64 195.12 423.58 193.73 421.95 192.37 421.82 191.93 420.49 190.35 420.58 189.53 420.02 189.27 419.51 188.02 420.54 187.3 421.05 185.74 420.63 185.03 421.73 184.18 425.13 184.17 425.1 181.59 425.16 181.29 428.26 181.43 429.47 181.6 Z
Niger,NER,Africa,Western Africa,Sub-Saharan Africa,M 407.97 160.46 406.3 158.9 405.23 159.3 405.3 160.02 404.59 159.11 404.68 158.22 403.4 158.35 402.15 157.42 402.11 156.28 401.38 156.06 400.34 154.14 400.48 153.34 402.16 153.16 402.95 152.51 407.77 152.35 408.58 151.55 409.27 150.0 409.39 148.71 409.37 143.96 412.94 143.21 416.59 140.12 421.55 137.19 426.53 134.26 429.89 135.01 431.55 136.25 433.21 135.42 433.63 137.64 433.65 138.71 434.6 139.95 434.46 140.28 435.36 141.23 434.88 142.27 434.56 145.9 434.25 148.98 431.85 151.48 430.67 153.1 430.51 153.76 429.81 154.51 430.16 156.01 428.56 156.47 427.65 157.43 426.73 157.31 425.36 156.76 423.66 156.74 422.01 157.25 421.37 157.97 419.24 157.74 417.91 156.89 417.19 156.85 416.39 157.32 415.31 157.56 414.12 156.18 412.31 155.64 411.69 155.9 409.99 156.03 409.15 156.52 409.06 157.58 408.08 158.62 407.97 160.46 Z
Burkina Faso,BFA,Africa,Western Africa,Sub-Saharan Africa,M 405.3 160.02 404.46 161.06 403.18 160.99 402.0 162.02 399.63 161.71 398.86 162.03 393.9 162.04 393.5 162.82 394.04 165.36 393.05 164.6 391.88 164.34 390.53 164.79 390.42 165.09 388.99 164.44 388.67 163.6 387.76 163.28 388.43 161.07 388.54 159.91 389.34 159.8 390.23 159.11 390.62 157.69 390.36 157.31 391.17 156.69 392.03 157.13 392.8 156.92 393.7 155.26 394.54 154.73 395.51 154.92 395.64 154.28 396.24 154.26 397.69 153.54 398.33 152.98 399.48 152.99 400.48 153.34 400.34 154.14 401.38 156.06 402.11 156.28 402.15 157.42 403.4 158.35 404.68 158.22 404.59 159.11 405.3 160.02 Z
Togo,TGO,Africa,Western Africa,Sub-Saharan Africa,M 399.63 161.71 402.0 162.02 401.7 163.41 402.95 164.23 403.16 165.81 403.55 166.33 403.6 170.88 403.59 172.61 402.63 172.87 401.7 172.16 401.15 171.24 401.43 170.16 401.37 167.57 400.81 166.94 401.19 165.6 400.79 165.17 400.81 163.55 399.8 162.82 400.04 161.87 399.63 161.71 Z
Ghana,GHA,Africa,Western Africa,Sub-Saharan Africa,M 399.63 161.71 400.04 161.87 399.8 162.82 400.81 163.55 400.79 165.17 401.19 165.6 400.81 166.94 401.37 167.57 401.43 170.16 401.15 171.24 401.7 172.16 402.63 172.87 402.21 173.44 400.71 173.58 399.18 174.21 398.23 174.83 396.52 175.26 395.37 175.89 394.78 175.48 393.08 175.1 393.09 175.07 393.7 174.98 393.94 174.52 393.42 173.93 392.77 171.72 393.25 170.71 393.7 169.05 394.44 168.19 394.19 166.61 393.85 166.32 394.04 165.36 393.5 162.82 393.9 162.04 398.86 162.03 399.63 161.71 Z
Guinea-Bissau,GNB,Africa,Western Africa,Sub-Saharan Africa,M 369.57 158.3 369.57 160.43 368.35 160.53 367.44 160.87 366.7 162.08 365.84 161.59 365.87 160.83 365.45 160.12 364.6 160.3 362.92 159.05 364.02 158.78 365.25 158.82 366.32 158.28 369.57 158.3 Z
Egypt,EGY,Africa,Northern Africa,Middle East & North Africa,M 475.92 117.2 477.33 121.02 477.0 121.43 476.77 122.61 476.27 123.64 476.31 124.36 475.54 124.76 473.66 123.06 473.47 122.04 472.9 121.57 472.18 119.95 471.68 120.78 472.24 121.33 472.32 122.17 472.86 123.04 474.29 124.41 474.39 125.35 474.98 125.96 475.4 127.4 476.58 129.37 478.11 132.3 478.72 133.24 478.67 134.3 479.12 135.56 480.24 136.18 481.76 137.63 478.66 137.63 473.55 137.63 469.27 137.63 462.71 137.63 458.4 137.63 455.38 137.63 455.38 133.75 455.38 130.52 455.38 125.06 455.38 121.7 454.73 119.57 455.41 118.15 455.11 116.83 455.75 116.22 456.31 116.56 457.24 116.31 460.56 116.83 461.84 117.42 462.96 117.48 464.35 118.06 465.4 117.77 467.3 116.54 468.14 116.77 469.21 116.39 470.47 116.91 471.06 117.5 472.55 117.59 474.59 117.41 475.81 116.98 475.92 117.2 Z
Mauritania,MRT,Africa,Western Africa,Sub-Saharan Africa,M 380.75 125.91 383.82 127.71 389.31 130.98 385.39 130.99 385.87 135.07 386.21 138.01 386.78 142.9 387.24 147.06 387.53 149.75 388.13 150.23 387.78 152.04 385.21 152.04 379.28 152.04 378.2 152.32 376.2 152.2 375.8 152.91 374.71 151.8 374.0 151.94 373.76 153.38 372.81 153.64 371.5 152.65 371.26 152.01 370.66 151.76 370.11 150.58 369.38 150.65 368.21 149.51 366.9 149.5 365.26 149.86 363.81 149.87 363.33 151.35 363.52 149.49 364.15 148.12 364.48 146.58 364.08 144.31 363.48 143.67 364.02 142.51 364.09 141.58 363.67 140.79 362.19 140.36 362.41 139.1 366.75 139.1 371.15 139.1 370.98 136.52 371.15 135.37 372.03 134.81 373.37 134.31 373.37 128.77 378.5 128.77 380.76 128.73 380.75 125.91 Z
Eq. Guinea,GNQ,Africa,Middle Africa,Sub-Saharan Africa,M 421.72 181.2 422.15 181.59 425.1 181.59 425.13 184.17 421.73 184.18 420.85 183.54 421.72 182.17 421.72 181.2 Z,M 419.78 178.07 419.27 179.28 418.73 179.13 419.29 178.05 419.78 178.07 Z
Gambia,GMB,Africa,Western Africa,Sub-Saharan Africa,M 362.86 157.43 362.69 156.82 363.29 156.27 365.6 156.28 365.88 155.86 366.94 155.82 368.24 156.56 369.04 156.3 369.3 156.83 368.52 157.06 366.72 156.47 364.93 156.86 364.9 157.22 363.04 157.21 362.86 157.43 Z
Madagascar,MDG,Africa,Eastern Africa,Sub-Saharan Africa,M 498.1 231.56 498.6 230.53 498.55 229.43 498.04 228.63 498.1 228.07 497.64 227.23 497.61 225.78 497.41 225.08 498.49 223.41 498.54 222.27 499.43 222.36 500.34 221.69 501.17 221.73 502.7 221.04 504.83 219.47 505.25 219.82 505.85 218.75 505.76 218.24 506.5 217.76 506.12 216.94 506.8 216.86 508.06 216.12 508.52 214.79 508.58 213.73 509.39 213.65 510.53 214.94 511.15 216.94 511.46 219.37 511.95 220.34 511.37 221.76 510.92 221.54 510.61 220.57 510.03 220.85 510.49 222.33 510.5 223.08 509.57 224.7 509.73 225.54 509.41 227.23 508.79 228.65 507.65 232.0 506.85 234.7 506.18 236.22 505.44 239.26 504.49 241.6 503.42 242.21 502.49 242.24 500.84 243.08 500.05 243.1 499.38 242.57 498.35 242.37 497.6 241.8 496.77 240.0 496.61 237.54 496.11 236.99 495.81 235.72 496.36 233.84 497.12 233.44 497.32 232.68 498.1 231.56 Z
